#level      koszt       ryzyko
11755.0000  11755.0000  2755.0000
11855.0000  11843.5000  2645.5000
11955.0000  11952.0000  2536.0000
12055.0000  12050.0000  2390.0000
12155.0000  12153.5000  2339.5000
12255.0000  12248.5000  2277.5000
12355.0000  12346.0000  2206.0000
12455.0000  12443.5000  2134.5000
12555.0000  12551.0000  2063.0000
12655.0000  12633.0000  2012.0000
12755.0000  12740.5000  1940.5000
12855.0000  12848.0000  1873.8000
12955.0000  12954.0000  1838.0000
13055.0000  13054.5000  1805.7000
13155.0000  13148.5000  1778.1000
13255.0000  13239.5000  1760.7000
13355.0000  13351.5000  1740.9000
13455.0000  13448.5000  1716.5000
13555.0000  13549.5000  1699.5000
13655.0000  13649.0000  1682.4000
13755.0000  13750.0000  1665.0000
13855.0000  13853.5000  1643.5000
13955.0000  13949.0000  1623.0000
14055.0000  14051.0000  1599.6000
14155.0000  14142.0000  1582.2000
14255.0000  14250.0000  1554.0000
