#level      koszt       ryzyko
11755.0000  11755.0000  2755.0000
11784.5000  11784.5000  2718.5000
11814.0000  11814.0000  2682.0000
11855.0000  11843.5000  2645.5000
11873.0000  11873.0000  2609.0000
11902.5000  11902.5000  2572.5000
11955.0000  11952.0000  2536.0000
11955.0000  11932.0000  2536.0000
11961.5000  11961.5000  2499.5000
11991.0000  11991.0000  2463.0000
12020.5000  12020.5000  2426.5000
12055.0000  12050.0000  2390.0000
12082.5000  12082.5000  2380.5000
12084.5000  12084.5000  2379.5000
12085.5000  12085.5000  2369.5000
12118.0000  12118.0000  2360.0000
12120.0000  12120.0000  2359.0000
12121.0000  12121.0000  2349.0000
12155.0000  12153.5000  2339.5000
12155.5000  12155.5000  2338.5000
12156.5000  12156.5000  2328.5000
12157.5000  12157.5000  2318.5000
12190.0000  12190.0000  2309.0000
12192.0000  12192.0000  2308.0000
12193.0000  12193.0000  2298.0000
12225.5000  12225.5000  2288.5000
12227.5000  12227.5000  2287.5000
12255.0000  12248.5000  2277.5000
12255.0000  12228.5000  2277.5000
12261.0000  12261.0000  2268.0000
12263.0000  12263.0000  2267.0000
12264.0000  12264.0000  2257.0000
12265.0000  12265.0000  2247.0000
12297.5000  12297.5000  2237.5000
12299.5000  12299.5000  2236.5000
12300.5000  12300.5000  2226.5000
12333.0000  12333.0000  2217.0000
12335.0000  12335.0000  2216.0000
12355.0000  12346.0000  2206.0000
12355.0000  12336.0000  2206.0000
12368.5000  12368.5000  2196.5000
12370.5000  12370.5000  2195.5000
12371.5000  12371.5000  2185.5000
12372.5000  12372.5000  2175.5000
12405.0000  12405.0000  2166.0000
12407.0000  12407.0000  2165.0000
12408.0000  12408.0000  2155.0000
12440.5000  12440.5000  2145.5000
12442.5000  12442.5000  2144.5000
12455.0000  12443.5000  2134.5000
12476.0000  12476.0000  2125.0000
12478.0000  12478.0000  2124.0000
12479.0000  12479.0000  2114.0000
12480.0000  12480.0000  2104.0000
12512.5000  12512.5000  2094.5000
12514.5000  12514.5000  2093.5000
12515.5000  12515.5000  2083.5000
12548.0000  12548.0000  2074.0000
12550.0000  12550.0000  2073.0000
12555.0000  12551.0000  2063.0000
12583.5000  12583.5000  2053.5000
12585.5000  12585.5000  2052.5000
12586.5000  12586.5000  2042.5000
12587.5000  12587.5000  2032.5000
12620.0000  12620.0000  2023.0000
12622.0000  12622.0000  2022.0000
12655.0000  12633.0000  2012.0000
12655.0000  12623.0000  2012.0000
12655.5000  12655.5000  2002.5000
12657.5000  12657.5000  2001.5000
12658.5000  12658.5000  1991.5000
12691.0000  12691.0000  1982.0000
12693.0000  12693.0000  1981.0000
12694.0000  12694.0000  1971.0000
12695.0000  12695.0000  1961.0000
12727.5000  12727.5000  1951.5000
12729.5000  12729.5000  1950.5000
12755.0000  12740.5000  1940.5000
12755.0000  12730.5000  1940.5000
12763.0000  12763.0000  1931.0000
12765.0000  12765.0000  1930.0000
12766.0000  12766.0000  1920.0000
12798.5000  12798.5000  1910.5000
12800.5000  12800.5000  1909.5000
12801.5000  12801.5000  1899.5000
12802.5000  12802.5000  1889.5000
12835.0000  12835.0000  1880.0000
12837.0000  12837.0000  1879.0000
12855.0000  12848.0000  1873.8000
12855.0000  12838.0000  1873.8000
12863.5000  12863.5000  1872.5000
12865.5000  12865.5000  1871.5000
12867.5000  12867.5000  1870.5000
12870.5000  12870.5000  1869.3000
12892.0000  12892.0000  1865.0000
12894.0000  12894.0000  1864.0000
12896.0000  12896.0000  1863.0000
12898.0000  12898.0000  1862.0000
12899.0000  12899.0000  1856.4000
12924.5000  12924.5000  1855.5000
12926.5000  12926.5000  1854.5000
12927.5000  12927.5000  1844.5000
12928.5000  12928.5000  1841.1000
12955.0000  12954.0000  1838.0000
12956.0000  12956.0000  1837.0000
12958.0000  12958.0000  1836.0000
12982.5000  12982.5000  1830.5000
12984.5000  12984.5000  1829.5000
12986.5000  12986.5000  1828.5000
12988.5000  12988.5000  1827.5000
12989.5000  12989.5000  1823.7000
13015.0000  13015.0000  1821.0000
13017.0000  13017.0000  1820.0000
13018.0000  13018.0000  1810.8000
13049.5000  13049.5000  1810.5000
13050.5000  13050.5000  1806.3000
13055.0000  13054.5000  1805.7000
13073.0000  13073.0000  1796.0000
13075.0000  13075.0000  1795.0000
13077.0000  13077.0000  1794.0000
13079.0000  13079.0000  1793.4000
13090.0000  13090.0000  1791.0000
13125.5000  13125.5000  1786.5000
13127.5000  13127.5000  1785.5000
13129.5000  13129.5000  1784.7000
13155.0000  13148.5000  1778.1000
13155.0000  13138.5000  1778.1000
13176.0000  13176.0000  1778.0000
13178.0000  13178.0000  1777.0000
13180.0000  13180.0000  1776.0000
13191.0000  13191.0000  1773.6000
13222.5000  13222.5000  1771.5000
13224.5000  13224.5000  1770.5000
13226.5000  13226.5000  1769.5000
13228.5000  13228.5000  1768.5000
13230.5000  13230.5000  1767.5000
13255.0000  13239.5000  1760.7000
13279.0000  13279.0000  1760.0000
